"ID","Name","Location","Phone","Email"
"29","Jenn Daniels","Gilbert, AZ","480-503-6860","mayor@gilbertaz.gov"
"30","Mark W. Mitchell","Tempe, AZ","480-350-8793","mark_mitchell@tempe.gov"
"31","Cathy Carlat","Peoria, AZ","623-773-7306","briana.decker@peoriaaz.gov"
"32","Skip Hall","Surprise, AZ","623-222-1300","mayor@surpriseaz.gov"
"33","Douglas J. Nicholls","Yuma, AZ","928-373-5002","douglas.nicholls@yumaaz.gov"
"34","Kenn Weise","Avondale, AZ","623-333-1917","kweise@avondaleaz.gov"
"35","Georgia Lord","Goodyear, AZ","623-882-7776","georgia.lord@goodyearaz.gov"
"36","Jackie A. Meck","Buckeye, AZ","623-349-6949","jmeck@buckeyeaz.gov"
"37","Coral Evans","Flagstaff, AZ","928-774-5281","cevans@flagstaffaz.gov"
"38","Craig McFarland","Casa Grande, AZ","520-421-8600","craig_mcfarland@casagrandeaz.gov"
"39","Cal Sheehy","Lake Havasu City, AZ","928-453-4152","sheehyc@lhcaz.gov"
"40","Christian Price","Maricopa, AZ","520-316-6828","christian.price@maricopa-az.gov"
"41","Ed Honea","Marana, AZ","520-382-1999","ehonea@marana.com"
"42","Kell Palguta","Prescott Valley, AZ","928-759-3000","council@pvaz.net"
"43","Joe Winfield","Oro Valley, AZ","520-229-4991","jwinfield@orovalleyaz.gov"
"44","Rick Mueller","Sierra Vista, AZ","520-458-3315","rick.mueller@sierravistaaz.gov"
"45","Greg Mengarelli","Prescott, AZ","928-777-1100","greg.mengarelli@prescott-az.gov"
"46","Gail Barney","Queen Creek, AZ","480-987-9887","gail.barney@queencreek.org"
"47","Jeff Serdy","Apache Junction, AZ","480-474-5066","jserdy@ajcity.net"
"48","Tom Brady","Bullhead City, AZ","928-763-0122","tbrady@bullheadcity.com"
"49","Alexis Hermosillo","El Mirage, AZ","623-876-2924","ahermosillo@elmirageaz.gov"
"50","Gerardo 'Jerry' Sanchez","San Luis, AZ","928-341-8520","gsanchez@cityofsanluis.org"
"51","Frank D. Scott Jr.","Little Rock, AR","501-371-4744","mayorscott@littlerock.gov"
"52","George B. McGill","Fort Smith, AR","479-784-2437","mayor@fortsmithar.gov"
"53","Lioneld Jordan","Fayetteville, AR","479-575-8330","mayor@fayetteville-ar.gov"
"54","Doug Sprouse","Springdale, AR","479-750-8114","dsprouse@springdalear.gov"
"55","Harold Perrin","Jonesboro, AR","870-932-1052","hperrin@jonesboro.org"
"56","Greg Hines","Rogers, AR","479-621-1117","ghines@rogersar.gov"
"57","Bart Castleberry","Conway, AR","501-450-6110","mayor@cityofconway.org"
"58","Joe A. Smith","North Little Rock, AR","501-975-8601","mayor@nlr.ar.gov"
"59","Stephanie Orman","Bentonville, AR","479-271-3112","sorman@bentonvillear.com"
"60","Shirley Washington","Pine Bluff, AR","870-730-2000","mayor@cityofpinebluff.com"
"61","Pat McCabe","Hot Springs, AR","501-276-1409","pmccabe@levihospital.com"
"62","Tom Farmer","Benton, AR","501-776-5906","info@bentonar.org"
"63","Virginia Hillman Young","Sherwood, AR","501-835-6620","vyoung@cityofsherwood.net"
"64","Allen L. Brown","Texarkana, AR","870-773-1923","ab@allenbrownmayor.com"
"65","Peter Christie","Bella Vista, AR","","pchristie@bellavistaar.gov"
"66","Eric Garcetti","Los Angeles, CA","213-978-0600","mayor.garcetti@lacity.org"
"67","Kevin L. Faulconer","San Diego, CA","619-236-6330","kevinfaulconer@sandiego.gov"
"68","Sam Liccardo","San Jose, CA","408-535-4800","mayoremail@sanjoseca.gov"
"69","London N. Breed","San Francisco, CA","415-554-6141","mayorlondonbreed@sfgov.org"
"70","Lee Brand","Fresno, CA","559-621-8000","mayor@fresno.gov"
"71","Darrell Steinberg","Sacramento, CA","916-808-5300","mayorsteinberg@cityofsacramento.org"
"72","Robert Garcia","Long Beach, CA","562-570-6801","mayor@longbeach.gov"
"73","Libby Schaaf","Oakland, CA","510-238-3141","officeofthemayor@oaklandnet.com"
"74","Karen K. Goh","Bakersfield, CA","661-326-3770","mayor@bakersfieldcity.us"
"75","Harry Sidhu","Anaheim, CA","714-765-5247",""
"76","Miguel A. Pulido","Santa Ana, CA","714-647-6900","mpulido@santa-ana.org"
"77","Rusty Bailey","Riverside, CA","951-826-5551","rbailey@riversideca.gov"
"78","Michael D. Tubbs","Stockton, CA","209-937-8244","mayor@stocktonca.gov"
"79","Christina L. Shea","Irvine, CA","949-724-6233","christinashea@cityofirvine.org"
"80","Mary Casillas Salas","Chula Vista, CA","619-691-5044","msalas@chulavistaca.gov"
"81","Lily Mei","Fremont, CA","510-284-4011","lmei@fremont.gov"
"82","John Valdivia","San Bernardino, CA","909-384-5133","mayor@sbcity.org"
"83","Ted Brandvold","Modesto, CA","209-577-5230","mayor@modestogov.com"
"84","Acquanetta Warren","Fontana, CA","909-350-7601","awarren@fontana.org"
"85","Cameron Smyth","Santa Clarita, CA","661-255-4311","csmyth@santa-clarita.com"
"86","Timothy B. Flynn","Oxnard, CA","805-385-7430","timbflynn@gmail.com"
"87","Yxstian Gutierrez","Moreno Valley, CA","951-413-3008","yxstiang@moval.org"
"88","Vrej Agajanian","Glendale, CA","818-548-2090","vagajanian@glendaleca.gov"
"89","Lyn Semeta","Huntington Beach, CA","714-536-5553","lyn.semeta@surfcity-hb.org"
"90","Paul S. Leon","Ontario, CA","909-395-2000","pleon@ci.ontario.ca.us"
"91","L Dennis Michael","Rancho Cucamonga, CA","909-477-2700","council@cityofrc.us"
"92","Tom Schwedhelm","Santa Rosa, CA","707-543-3017","tschwedhelm@srcity.org"
"93","Peter Weiss","Oceanside, CA","760-966-4401","pweiss@ci.oceanside.ca.us"
"94","Steve Ly","Elk Grove, CA","916-478-2279","stevely@elkgrovecity.org"
"95","Steven R. Jones","Garden Grove, CA","714-741-5104","mayor@garden-grove.org"
"96","Jim Steiner","Corona, CA","951-736-2370","jim.steiner@coronaca.gov"
"97","Barbara Halliday","Hayward, CA","510-583-4340","barbara.halliday@hayward-ca.gov"
"98","R Rex Parris","Lancaster, CA","661-723-6019","rrparris@cityoflancasterca.org"
"99","Steven D. Hofbauer","Palmdale, CA","661-267-5100","shofbauer@cityofpalmdale.org"
"100","Joe Gunter","Salinas, CA","831-758-7204","joe.gunter@ci.salinas.ca.us"
"101","Larry Klein","Sunnyvale, CA","408-730-7473","mayor@sunnyvale.ca.gov"
"102","Tim Sandoval","Pomona, CA","909-620-2051","mayor@ci.pomona.ca.us"
"103","Paul 'Mac' McNamara","Escondido, CA","760-839-4610","pmcnamara@escondido.org"
"104","Patrick J. Furey","Torrance, CA","310-618-2801","pfurey@torranceca.gov"
"105","Terry Tornek","Pasadena, CA","(626) 744-4111","ttornek@cityofpasadena.net"
"106","Jennifer Fitzgerald","Fullerton, CA","714-738-6311","jenniferf@cityoffullerton.com"
"107","Mark A. Murphy","Orange, CA","714-744-2211","citycouncil@cityoforange.org"
"108","Bonnie Gore","Roseville, CA","916-773-3632","bgore@roseville.ca.us"
"109","Robert R. Link","Visalia, CA","559-713-4512","bob.link@visalia.city"
"110","Tim McGallian","Concord, CA","925-671-3158","tim.mcgallian@cityofconcord.org"
"111","Lisa M. Gillmor","Santa Clara, CA","408-615-2250","lgillmor@santaclaraca.gov"
"112","Al Adam","Thousand Oaks, CA","805-449-2102","aadam@toaks.org"
"113","Keith L. Mashburn","Simi Valley, CA","805-583-6701","kmashburn@simivalley.org"
"114","Gloria Garcia","Victorville, CA","760-955-5026","ggarcia@ci.victorville.ca.us"
"115","Bob Sampayan","Vallejo, CA","707-648-4377","mayor@cityofvallejo.net"
"116","Jesse Arreguin","Berkeley, CA","510-981-7100","jarreguin@cityofberkeley.info"
"117","Harry T. Price","Fairfield, CA","707-428-7395","hprice@fairfield.ca.gov"
"118","Matt Hall","Carlsbad, CA","760-434-2830","council@carlsbadca.gov"
"119","Andre Quintero","El Monte, CA","626-580-2001","citycouncil@ci.el-monte.ca.us"
"120","Gene Winderlich","Murrieta, CA","951-461-6019","gwunderlich@murrietaca.gov"
"121","James 'Stew' Stewart","Temecula, CA","951-506-5100","james.stewart@citycouncil.org"
"122","Katrina Foley","Costa Mesa, CA","714-754-5285","katrina.foley@costamesaca.gov"
"123","Blanca Pacheco","Downey, CA","562-904-7274","bpacheco@downeyca.org"
"124","Drew Bessinger","Clovis, CA","559-324-2060","drewb@cityofclovis.com"
"125","Sean Wright","Antioch, CA","925-757-3309","swright@ci.antioch.ca.us"
"126","Matt LaVere","Ventura, CA","805-654-7827","mlavere@cityofventura.ca.gov"
"127","Thomas K. Butt","Richmond, CA","510-620-6503","tom.butt@intres.com"
"128","James T. Butts Jr.","Inglewood, CA","310-412-5300","mayor@cityofinglewood.org"
"129","Anthony Kelly Jr.","Jurupa Valley, CA","(951) 332-6464","akelly@jurupavalley.org"
"130","Alice M. Patino","Santa Maria, CA","805-925-0951x188","apatino@cityofsantamaria.org"
"131","Glenn R. Sylvester","Daly City, CA","650-991-8008","citycouncil@dalycity.org"
"132","Tony Wu","West Covina, CA","626-939-8401","tony.wu@westcovina.org"
"133","Jennifer Perez","Norwalk, CA","562-929-5305","jperez@norwalkca.gov"
"134","Joe Goethals","San Mateo, CA","650-522-7522","jgoethals@cityofsanmateo.org"
"135","Sharon Springer","Burbank, CA","818-238-5750","sspringer@burbankca.gov"
"136","Deborah Robertson","Rialto, CA","909-820-2525","robertsond@rialtoca.gov"
"137","Bill Wells","El Cajon, CA","619-441-1788","bwells@cityofelcajon.us"
"138","Judy Ritter","Vista, CA","760-726-1340","jritter@cityofvista.com"
"139","Ron Rowlett","Vacaville, CA","707-449-5100","ron.rowlett@cityofvacaville.com"
"140","Rebecca Jones","San Marcos, CA","760-744-1050","rjones@san-marcos.net"
"141","Aja Brown","Compton, CA","310-605-5585","ajabrown@comptoncity.org"
"142","Larry Bird","Hesperia, CA","760-947-1030","lbird@cityofhesperia.us"
"143","Brian Goodell","Mission Viejo, CA","949-470-3050","bgoodell@cityofmissionviejo.org"
"144","Randall Stone","Chico, CA","530-895-4811","randall.stone@chicoca.gov"
"145","Maria Belén Bernal","South Gate, CA","323-563-9543","mbernal@sogate.org"
"146","Bill Zimmerman","Menifee, CA","951-672-6777","bzimmerman@cityofmenifee.us"
"147","Albert Robles","Carson, CA","310-952-1700","arobles@carson.ca.us"
"148","Robert Rickman","Tracy, CA","209-831-4100","council@ci.tracy.ca.us"
"149","Adam McElvain","Redding, CA","530-225-4447","amcelvain@cityofredding.org"
"150","Eunice M. Ulloa","Chino, CA","909-591-9804","administration@cityofchino.org"
"151","Kevin McKeown","Santa Monica, CA","310-458-8201","kevin.mckeown@smgov.net"
"152","Cathy Murillo","Santa Barbara, CA","805-564-5321","cmurillo@santabarbaraca.gov"
"153","Glenn Miller","Indio, CA","760-391-4015","gmiller@indio.org"
"154","Tri Ta","Westminster, CA","714-548-3172","tta@ci.westminster.ca.us"
"155","John P. Marchand","Livermore, CA","925-960-4020","mayormarchand@cityoflivermore.net"
"156","Pauline Russo Cutter","San Leandro, CA","510-577-3355","pcutter@sanleandro.org"
"157","Jeff Slowey","Citrus Heights, CA","916-725-2448","jslowey@citrusheights.net"
"158","Alex Vargas","Hawthorne, CA","310-349-2908","avargas@hawthorneca.gov"
"159","Diane Howard","Redwood City, CA","650-208-4774","dhoward@redwoodcity.org"
"160","Joe Vinatieri","Whittier, CA","562-693-0123","jvcc@bewleylaw.com"
"161","Neeki Moatazedi","Lake Forest, CA","949-461-3400","nmoatazedi@lakeforestca.gov"
"162","Will O'Neill","Newport Beach, CA","949-644-3004","woneill@newportbeachca.gov"
"163","Russ Brown","Hemet, CA","951-765-2300","rbrown@cityofhemet.org"
"164","Ross J. Maza","Alhambra, CA","626-570-5010","luwan@cityofalhambra.org"
"165","Art Bennett","Chino Hills, CA","909-364-2620","abennett@chinohills.org"
"166","Margaret Abe-Koga","Mountain View, CA","650-903-6304","margaret.abe-koga@mountainview.gov"
"167","Mike Murphy","Merced, CA","209-385-6210","mayor@cityofmerced.org"
"168","Fred Smith","Buena Park, CA","714-562-3754","fsmith@buenapark.com"
"169","Jerry Thorne","Pleasanton, CA","925-931-5001","jthorne@cityofpleasantonca.gov"
"170","Benjamin J. Cantu","Manteca, CA","209-456-8017","bcantu@ci.manteca.ca.us"
"171","Rich Tran","Milpitas, CA","408-586-3029","rtran@ci.milpitas.ca.gov"
"172","Todd Rogers","Lakewood, CA","562-866-9771","citycouncil@lakewoodcity.org"
"173","Allan Bernstein","Tustin, CA","714-573-3012","abernstein@tustinca.org"
"174","Jill Techel","Napa, CA","707-257-9503","mayor@cityofnapa.org"
"175","Michael M. Vargas","Perris, CA","951-943-6100","mvargas@cityofperris.org"
"176","Sarah Aquino","Folsom, CA","916-798-5380","saquino@folsom.ca.us"
"177","Marilyn Ezzy Ashcraft","Alameda, CA","510-747-4745","mezzyashcraft@alamedaca.gov"
"178","Juan Garza","Bellflower, CA","562-804-1424","jgarza@bellflower.org"
"179","Debbie Stone","Upland, CA","909-931-4120","debbiestoneforupland@gmail.com"
"180","William 'Bill' Clarkson","San Ramon, CA","925-973-2500","bclarkson@sanramon.ca.gov"
"181","Manuel Lozano","Baldwin Park, CA","626-813-5201","mlozano@baldwinpark.com"
"182","David M. Sander Ph.D","Rancho Cordova, CA","916-851-8700","dsander@cityofranchocordova.org"
"183","Carol Dutra-Vernaci","Union City, CA","510-471-3232","ucmayor@unioncity.org"
"184","Scott Nassif","Apple Valley, CA","760-240-7000","snassif@applevalley.org"
"185","Amy Bublak","Turlock, CA","209-668-5540","abublak@turlock.ca.us"
"186","Jelani Killings","Pittsburg, CA","925-252-4850","citycouncil@ci.pittsburg.ca.us"
"187","Paul W. Foster","Redlands, CA","909-798-7533","pfoster@cityofredlands.org"
"188","Aide Castro","Lynwood, CA","310-603-0220","acastro@lynwood.ca.us"
"189","Loella Haskew","Walnut Creek, CA","925-256-3504","mayor@walnut-creek.org"
"190","Brett Lee","Davis, CA","530-757-5602","blee@cityofdavis.org"
"191","Tony Trembley","Camarillo, CA","805-388-5307","council@cityofcamarillo.org"
"192","Brian Tisdale","Lake Elsinore, CA","951-674-3124","btisdale@lake-elsinore.org"
"193","Beth Haney","Yorba Linda, CA","714-961-7110","bhaney@yorbalindaca.gov"
"194","Richard Garbarino","South San Francisco, CA","650-829-6601","rich.garbarino@ssf.net"
"195","Bill Brand","Redondo Beach, CA","310-372-1171","bill.brand@redondo.org"
"196","Greg Janda","Rocklin, CA","916-833-0787","greg.janda@rocklin.ca.us"
"197","Doug Kuehne","Lodi, CA","209-333-6800","dkuehne@lodi.gov"
"198","Shon Harris","Yuba City, CA","530-822-4602","citycouncil@yubacity.net"
"199","Adrian Fine","Palo Alto, CA","650-285-3694","adrian.fine@cityofpaloalto.org"
"200","Laurie Davies","Laguna Niguel, CA","949-362-4315","ldavies@cityoflagunaniguel.org"
"201","Andrew J. Medellin","Madera, CA","559-674-3661","asd3661@yahoo.com"
"202","Dan Bane","San Clemente, CA","949 361-8322","baned@san-clemente.org"
"203","Brandon Plott","Eastvale, CA","951-361-0900","bplott@eastvaleca.gov"
"204","Justin Cummings","Santa Cruz, CA","831-420-5020","jcummings@cityofsantacruz.com"
"205","Jose Sigala","Tulare, CA","559-685-2300","jsigala@tulare.ca.gov"
"206","Robert Taylor","Brentwood, CA","925-516-5440","btaylor@brentwoodca.gov"
"207","David Gregory Haubert","Dublin, CA","(925) 833-6665","david.haubert@dublin.ca.gov"
"208","Catherine S. Blakespear","Encinitas, CA","760-633-2624","cblakespear@encinitasca.gov"
"209","Gustavo V. Camacho","Pico Rivera, CA","562-801-4371","zcaltitla@pico-rivera.org"
"210","Salvador Melendez","Montebello, CA","323-887-1367","kzendzhiryan@cityofmontebello.com"
"211","Tom Beamish","La Habra, CA","562-383-4000","tbeamish@lahabraca.com"
"212","Teresa Barrett","Petaluma, CA","707-778-4360","teresa4petaluma@comcast.net"
"213","Alejandra Sotelo-Solis","National City, CA","619-336-4283","asotelosolis@nationalcityca.gov"
"214","Xochitl Rodriguez","Woodland, CA","530-661-5806","xochitl.rodriguez@cityofwoodland.org"
"215","Hans Liang","Monterey Park, CA","626-307-1255","hliang@montereypark.ca.gov"
"216","Steven Scharf","Cupertino, CA","408-777-3191","sscharf@cupertino.org"
"217","Martha A. Flores","Porterville, CA","559-782-7460","marthaflores@portervilleca.gov"
"218","Tasha Cerda","Gardena, CA","310-217-9507","tcerda@cityofgardena.org"
"219","Mark Arapostathis","La Mesa, CA","619-667-1100","marapostathis@ci.la-mesa.ca.us"
"220","Roland Velasco","Gilroy, CA","408-710-8508","roland.velasco@cityofgilroy.org"
"221","Gary O. Phillips","San Rafael, CA","415-485-3074","sanrafael.mayor@cityofsanrafael.org"
"222","April Verlato","Arcadia, CA","626-574-5403","averlato@arcadiaca.gov"
"223","Manuel 'Manny' Avila","Huntington Park, CA","(323) 582-6161","mavila@hpca.gov"
"224","John W. Minto","Santee, CA","619-258-4100","jminto@ci.santee.ca.us"
"225","John Draxler","Hanford, CA","559-967-6630","jdraxler@cityofhanfordca.com"
"226","Steve Tye","Diamond Bar, CA","909-839-7010","stye@diamondbarca.gov"
"227","Cheryl Brothers","Fountain Valley, CA","714-593-4403","cheryl.brothers@fountainvalley.org"
"228","Denise Athas","Novato, CA","415-272-3265","dathas@novato.org"
"229","Larry McCallon","Highland, CA","909-864-6861","information@cityofhighland.org"
"230","Gregory S. Pettis","Cathedral City, CA","760-770-0342","gpettis@cathedralcity.gov"
"231","Frank J. Navarro","Colton, CA","909-370-5059","fnavarro@coltonca.gov"
"232","Sandra Armenta","Rosemead, CA","(626) 676-3965","sarmenta@cityofrosemead.org"
"233","Peggy Lemons","Paramount, CA","562-220-2029","peglemons@gmail.com"
"234","Rebecca J. Garcia","Watsonville, CA","831-768-3008","rebecca.garcia@cityofwatsonville.org"
"235","Christopher L. Cabaldon","West Sacramento, CA","916-617-4500","christopherc@cityofwestsacramento.org"
"236","David Avila","Yucaipa, CA","909-797-2489","davila@yucaipa.org"
"237","Gina Nestande","Palm Desert, CA","760-346-0611","cityhall@cityofpalmdesert.org"
"238","Joe Aguirre","Delano, CA","661-721-3303","jaguirre@cityofdelano.org"
"239","Michael Allawos","Glendora, CA","626-914-8200","mallawos@cityofglendora.org"
"240","Mike Munzing","Aliso Viejo, CA","949-425-2510","mmunzing@avcity.org"
"241","Ward Smith","Placentia, CA","714-993-8186","wsmith@placentia.org"
"242","Naresh Solanki","Cerritos, CA","562-860-0311","council@cerritos.us"
"243","Robert Gonzales","Azusa, CA","(626) 812-5243","robertgonzales@azusaca.gov"
"244","Steve Vaus","Poway, CA","858-668-4522","svaus@poway.org"
"245","Rey Santos","Beaumont, CA","951-769-8520","rsantos@beaumontca.gov"
"246","Rob Johnson","Cypress, CA","714-229-6699","rjohnson@cypressca.org"
"247","Andrew Kotyuk","San Jacinto, CA","951-537-6359","akotyuk@sanjacintoca.gov"
"248","Chris Vierra","Ceres, CA","209-538-5692","cvierra@ci.ceres.ca.us"
"249","John Lewis","La Mirada, CA","(562) 943-0131","jlewis@cityoflamirada.org"
"250","Geoff Kors","Palm Springs, CA","760-323-8200","geoff.kors@palmspringsca.gov"
"251","Brad McGirr","Rancho Santa Margarita, CA","949-635-1800","bmcgirr@cityofrsm.org"
"252","Alan L. Nagy","Newark, CA","510-578-4000x110","alan.nagy@newark.org"
"253","Dan Karleskint","Lincoln, CA","916-434-2490","dan.karleskint@lincolnca.gov"
"254","Victor Linares","Covina, CA","626-384-5410","vlinares@covinaca.gov"
"255","Heidi Harmon","San Luis Obispo, CA","805-781-7123","hharmon@slocity.org"
"256","Steven Hernandez","Coachella, CA","760-398-3502","shernandez@coachella.org"
"257","Rich Constantine","Morgan Hill, CA","408-779-7259","rich.constantine@morganhill.ca.gov"
"258","Karen Stepper","Danville, CA","925-998-8865","kstepper@danville.ca.gov"
"259","Michael B. Hancock","Denver, CO","720-865-9090","mayorsoffice@denvergov.org"
"260","John Suthers","Colorado Springs, CO","719-385-5900","jsuthers@springsgov.com"
"261","Mike Coffman","Aurora, CO","303-739-7010","mcoffman@auroragov.org"
"262","Wade Troxell","Fort Collins, CO","970-219-8940","wtroxell@fcgov.com"
"263","Adam A. Paul","Lakewood, CO","303-987-7040","apaul@lakewood.org"
"264","Janifer Kulmann","Thornton, CO","303-538-7531","jan.kulmann@thorntonco.gov"
"265","Marc Williams","Arvada, CO","720-898-7000","mwilliams@arvada.org"
"266","Herb Atchison","Westminster, CO","303-915-5625","herb.atchison@netzero.com"
"267","Nicholas A. Gradisar","Pueblo, CO","719-924-5449","ngradisar@pueblo.us"
"268","Stephanie Piko","Centennial, CO","303-754-3350","spiko@centennialco.gov"
"269","Sam Weaver","Boulder, CO","303-416-6130","weavers@bouldercolorado.gov"
"270","John Gates","Greeley, CO","970-350-9772","john.gates@greeleygov.com"
"271","Brian J. Bagley","Longmont, CO","303-651-8602","brian.bagley@ci.longmont.co.us"
"272","Jacki Marsh","Loveland, CO","970-962-2303","jacki.marsh@cityofloveland.org"
"273","Patrick Quinn","Broomfield, CO","303-623-1580","pquinn@broomfieldcitycouncil.org"
"274","Jason Gray","Castle Rock, CO","303-663-4401","jgray@crgov.com"
"275","Duke Wortmann","Grand Junction, CO","970-244-1501","dukew@gjcity.org"
"276","Benjamin Huseman","Commerce City, CO","303-219-0510","bhuseman@c3gov.com"
"277","Mike Waid","Parker, CO","303-841-0353","mwaid@parkeronline.org"
"278","Jerry Valdes","Littleton, CO","720-224-1314","lccjv@littletongov.org"
"279","Greg Mills","Brighton, CO","(303) 655-2268","gmills@brightonco.gov"
"280","Meredith Leighty","Northglenn, CO","303-450-8755","mleighty@northglenn.org"
"281","Linda Olson","Englewood, CO","720-315-3915","lolson@englewoodco.gov"
"282","Bud Starker","Wheat Ridge, CO","303-235-2800","bstarker@ci.wheatridge.co.us"
"283","Jose Gurrola","Arvin, CO","","jgurrola@arvin.org"
"284","Kevin Burns","Dillon, CO","","kevinburns@townofdillon.com"
"285","Joe Ganim","Bridgeport, CT","203-576-7201","joseph.ganim@bridgeportct.gov"
"286","Justin Elicker","New Haven, CT","203-946-8200","smatteson@newhavenct.gov"
"287","David Martin","Stamford, CT","203-977-4150","mayormartin@stamfordct.gov"
"288","Luke Bronin","Hartford, CT","860-757-9500","luke.bronin@hartford.gov"
"289","Neil M. O'Leary","Waterbury, CT","203-574-6712","mluddy@waterburyct.org"
"290","Harry Rilling","Norwalk, CT","203-854-7701","hrilling@norwalkct.org"
"291","Mark D. Boughton","Danbury, CT","203-797-4511","e.etcheto@danbury-ct.gov"
"292","Erin E. Stewart","New Britain, CT","860-826-3303","mayor@newbritainct.gov"
"293","Shari Cantor","West Hartford, CT","860-561-7500","mayor@westhartfordct.gov"
"294","Peter Tesei","Greenwich, CT","203-622-7700","ptesei@greenwichct.org"
"295","Curt Balzano Leng","Hamden, CT","203-287-7100","cleng@hamden.com"
"296","Ellen A. Zoppo Sassu","Bristol, CT","860-584-6250","mayorsoffice@ci.bristol.ct.us"
"297","Kevin M. Scarpati","Meriden, CT","203-630-4125","kscarpati@meridenct.gov"
"298","Jay Moran","Manchester, CT","860-647-3130","jmoran@manchesterct.gov"
"299","Michael C. Tetreau","Fairfield, CT","203-256-3030","firstselectmanffld@town.fairfield.ct.us"
"300","Nancy R. Rossi","West Haven, CT","203-937-3510","nrossi@westhaven-ct.gov"
"301","Benjamin G. Blake","Milford, CT","203-783-3201","mayor@ci.milford.ct.us"
"302","Laura Hoydick","Stratford, CT","203-385-4001","lhoydick@townofstratford.com"
"303","Marcia A. Leclerc","East Hartford, CT","860-291-7200","mleclerc@easthartfordct.gov"
"304","Benjamin D. Florsheim","Middletown, CT","860-638-4801","mayor@middletownct.gov"
"305","William Dickinson Jr.","Wallingford, CT","203-294-2070","towngov@wallingfordct.gov"
"306","Michael Ludwick","Enfield, CT","860-869-5933","mludwick@enfield.org"
"307","Christopher J. Palmieri","Southington, CT","860-628-4115","cpalmieri@southington.org"
"308","Mark A. Lauretti","Shelton, CT","203-924-1555","shelton01@cityofshelton.org"
"309","Peter Albert Nystrom","Norwich, CT","860-823-3742","pnystrom@cityofnorwich.org"
"310","Patrice Granatosky","Groton, CT","860-449-8789","pgranatosky@groton-ct.gov"
"311","Vicki A. Tesoro","Trumbull, CT","203-452-5005","firstselectman@trumbull-ct.gov"
"312","Elinor Carbone","Torrington, CT","860-489-2228","elinor_carbone@torringtonct.org"
"313","N 'Pete' Warren Hess III","Naugatuck, CT","203-720-7007","nwhess@naugatuck-ct.gov"
"314","Roy Zartarian","Newington, CT","860-665-0824","rzartarian@newingtonct.gov"
"315","Daniel A. Champagne","Vernon, CT","860-870-3600","dchampagne@vernon-ct.gov"
"316","Jim Marpe","Westport, CT","","jmarpe@westportct.gov"
"317","Thomas G. Dunn","Wolcott, CT","203-879-8100","tdunn@wolcottct.org"
"318","Michael S. Purzycki","Wilmington, DE","302-576-2100","mspurzycki@wilmingtonde.gov"
"319","Carolyn Kay Riggle","Delaware, OH","740-815-5876","criggle@delawareohio.net"
"320","Robin R. Christiansen","Dover, DE","302-736-7005","rchristiansen@dover.de.us"
"321","Jerry Clifton","Newark, DE","302-368-2561 x112","gjclifton@verizon.net"
